-- A B sel_fn Y Z
3a94ebe5 2e8f3d6a 5 00000000 1
91895f4f 349f83ff 3 80000000 0
85471cb5 b11ad016 a 00000215 0
b01ebe13 2c902c88 a 00b01ebe 0
38e322e7 163b4da5 5 00000000 1
9b196851 3ee1d0f2 8 a5f8b8a3 0
a44e1796 927dee55 3 f2c00000 0
94973385 bb93542b b fff292e6 0
a1a561bf 291df560 c a9bdf5ff 0
32b7a4f2 1685a4bd 3 40000000 0
949e1f27 8fb67b07 3 4f0f9380 0
24f18d3c 8c40301f 7 00000001 0
0377a795 23be5c11 e 03360411 0
84688e01 947d037d e 84680201 0
94f14351 25174c9b 9 b1e60fca 0
2533dada 00efa5ba b 00000009 0
13894a2e a0ff9146 8 b376db68 0
20b33049 2d4a5c93 a 00000416 0
aec2fa7d 1fec9d2d 9 b12e6750 0
b2373a74 2734e329 6 00000000 1
b6e37fbf 06e49422 a 2db8dfef 0
07494acd 197caa5c 1 edcca071 0
a63066fb ba11c826 7 00000001 0
1c1f16ed b56c1bbf 5 00000000 1
1c5d32f3 3275061b e 10550213 0
2acb9c48 b7d21613 0 e29db25b 0
257574b4 2ba63917 3 5a000000 0
a0ecfb93 24eb067e c a4efffff 0
a5274d3a 18c764f1 d bde76dfb 0
03b27be5 96f2ac03 5 00000000 1
b2099b14 38e507d3 7 00000000 1
2d3838fd a6cc4ae4 7 00000001 0
39f8e354 b320e7f2 4 00000000 1
2851993b b4ceebf1 6 00000001 0
1960cf32 221afdcb e 0000cd02 0
a902d723 915d47f7 0 3a601f1a 0
8adf701f ac41dc6d 2 ee03e000 0
bffeff8b a19cc1c8 3 feff8b00 0
a3457242 bbba80af 7 00000001 0
36af90bf 042d6193 2 85f80000 0
97ab099d a4c61d74 6 00000001 0
0758383e 1478b287 f 04583006 0
b7da483d 14951e42 a 2df6920f 0
aa19d3e4 20bc3ff3 e 201813e0 0
beffbc49 04b082d6 7 00000000 1
bbaa2899 9fa0c968 9 240ae1f1 0
873542cf b02e357e a 00000002 0
9dc803dd 95c6ad7f d 9dceafff 0
b1ff789b b00be35c 3 b0000000 0
a37506c3 92549152 0 35c99815 0
20a02c81 bb3278e9 c bbb27ce9 0
2c45f848 9b357ed5 6 00000001 0
8a99beda 14b38644 b f8a99bed 0
8a1301fa b650a682 7 00000001 0
07750028 800d4637 7 00000001 0
33967572 9caa311a 1 96ec4458 0
a279f522 a7399ffb e a2399522 0
a47f7a12 36f02c75 5 00000001 0
b39c788e 81a00f20 c b3bc7fae 0
28cc99f6 b0aeaa83 c b8eebbf7 0
a89513b5 84ec361f 5 00000000 1
b539e22e 9fe73418 1 1552ae16 0
0bab245e 0217cf84 7 00000000 1
a1c17d91 1a82c91e d bbc3fd9f 0
13589386 90fa06b5 f 10580284 0
a54faac2 01a3de33 d a5effef3 0
86a10a55 9be04cbd 6 00000001 0
1ae6fd48 3488abe6 8 2e6e56ae 0
ad76cb03 02bccea6 e 0034ca02 0
28804ec9 a9494613 2 76480000 0
8346a9a7 32be9a44 9 b1f833e3 0
1f4170be 01566207 1 1deb0eb7 0
1b54a523 bb198b80 2 1b54a523 0
a2826043 ba508077 b ffffff45 0
832be2b0 a3049f88 b ff832be2 0
987c44cf 015e6c6f 5 00000001 0
171adeb1 170b146b 4 00000000 1
a36aaff2 17c53abe 5 00000001 0
174293dc 34e69b0b 0 4c292ee7 0
2d20b771 8b43bd95 5 00000000 1
016035d8 9545a66a 5 00000000 1
31336c56 2b23464e 5 00000000 1
2c22f6d8 39f2debe f 2822d698 0
32ea30cd 04c3238e 3 8c334000 0
047937ee 04fe3fd3 8 0087083d 0
b45f53e6 36d51c47 b ff68bea7 0
83e209fa 1aa5419e 1 693cc85c 0
1b3d7598 3a44c84d 1 e0f8ad4b 0
28671985 13cf6711 c 3bef7f95 0
bdc25691 8251a56a 7 00000000 1
8b9711ef 3a208290 b ffff8b97 0
1fbdaeb7 b306343a 7 00000001 0
9563c4b0 b0bf3899 e 90230090 0
bb664275 0ddad244 a 0bb66427 0
9a73ffa4 b601987a 8 2c7267de 0
95048214 bfecfef7 4 00000001 0
23108993 1a67d82a f 02008802 0
1290d7de 9bdb4f9f f 1290479e 0
88844676 a8572ba3 a 111088ce 0
a976b8bb 22ef9a6e 8 8b9922d5 0
32459d2e 0e39a14a 1 240bfbe4 0
b4e9e081 bde3e32a a 002d3a78 0
2b0eee9d 31b6344c 2 eee9d000 0
b6382e39 8d29641f 0 43619258 0
2f7d526a aee3b2fd 8 819ee097 0
a6c125fa b34a3c67 1 f376e993 0
a48eefd6 31717a90 d b5ffffd6 0
a8460536 118268a8 2 46053600 0
bbe43965 17da32c8 f 13c03040 0
8c75e384 8766c5d5 9 0b132651 0
16552050 31edf379 2 a0000000 0
a7aa5d50 0a018596 a 0000029e 0
9b0690fa 33f9e2e6 7 00000000 1
b4f98ef8 3d72c25f 2 00000000 1
21c5c3d9 af1ab763 a 0438b87b 0
02d0863b 8dba556b 5 00000000 1
a31eb695 8d5067c9 7 00000000 1
37791509 b804c305 6 00000001 0
8733874a 3d068d95 e 05028500 0
83ffec17 b55791f0 d b7fffdf7 0
0e018035 ac0158d4 0 ba02d909 0
1a20e4be aa3240ca f 0a20408a 0
10627430 b493c91e 7 00000001 0
b6ebb911 0c4e58bc 5 00000001 0
a8af2cc2 3a4cf856 0 e2fc2518 0
18036630 804966dd 7 00000001 0
949fa8bc 2c5072ed 1 684f35cf 0
846f683d 2ca67e05 6 00000000 1
3f7d5692 83b4aecb a 0007efaa 0
3c1fb885 8e31590b 5 00000000 1
0486dfed 236bfd35 1 e11ae2b8 0
2a5ec5b3 236e59a7 9 09309c14 0
84e81436 8543a54f 4 00000001 0
2786d32c 31680265 5 00000001 0
0b5895fc 24cc7c00 9 2f94e9fc 0
358097e8 9bc33a72 7 00000001 0
9100b38a a4f09b63 0 35f14eed 0
38a1e65b b4a1382d 8 8c00de76 0
b4005508 88459f12 9 3c45ca1a 0
83a36e50 2e84ebb9 e 02806a10 0
37783afc 862953e4 e 062812e4 0
a99796c7 a3013d07 d ab97bfc7 0
1fa9f603 97eee900 9 88471f03 0
b3d05131 949df918 6 00000000 1
924f9d1c 11733548 2 4f9d1c00 0
9bd470a2 18fe705d e 18d47000 0
bc05e1dc 3f96df90 4 00000001 0
0aa54eca 99f69c85 4 00000000 1
bf25ca64 2535791c 2 40000000 0
a6acadda 00dcb613 f 008ca412 0
87259eee 0c5cb154 6 00000000 1
b0c9a1a5 8eff829a d beffa3bf 0
2d258d4a 059c06bb 3 50000000 0
9f262b91 08ce626d 3 c5722000 0
8ef8b6a9 22650c82 8 ac9dba2b 0
9182ec39 96e1d121 d 97e3fd39 0
b9935c84 81a0d550 4 00000000 1
aedd2ad8 80ae363d 0 2f8b6115 0
3a6b3f80 2eaea316 b 000000e9 0
bf6bc5c4 104b9be1 9 af205e25 0
b8f98f9b a32df10e a 0002e3e6 0
3008b8b0 2d613751 6 00000000 1
8a239712 bb09982c 4 00000001 0
a54a9468 36df33a8 3 4a946800 0
2afaa1b3 2066ffae d 2afeffbf 0
24a3d942 bfd2f11c a 00000002 0
9ee1989c 2a2dd297 7 00000000 1
29077084 3b3ffb99 d 3b3ffb9d 0
36bbee99 240ce02a 3 efba6400 0
3eaf525e bd9169a3 8 833e3bfd 0
b37b5b9f 81ef70c6 7 00000000 1
06bf0d55 afc130b8 1 56fddc9d 0
adf2960e a304c1b8 b ffffffad 0
8f9cb132 891056ab 9 068ce799 0
187b46cd 8995d9d8 c 99ffdfdd 0
89fee2cd 87b3cfb3 f 81b2c281 0
3496f153 14fe4e0a c 34feff5b 0
94cf674c 97825f21 2 299ece98 0
1f5e833a 2251a7fe 5 00000001 0
2b1414b3 875384f3 7 00000001 0
0b2ac6f6 8639c2c5 0 916489bb 0
37459ad3 0258f4c9 e 024090c1 0
03741bc0 1fd46811 0 234883d1 0
b68752fc 225852e3 8 94df001f 0
19aea8db 186b963f b 00000000 1
b45f0601 0261922b d b67f962b 0
3e5754b3 87016a74 8 b9563ec7 0
04aeaf69 271dda80 9 23b375e9 0
b92ba88e 28c6837d 0 e1f22c0b 0
85bf81e4 0286e8bb e 008680a0 0
161187c6 b8c9212d e 10010104 0
a766a462 b478f222 6 00000001 0
99e24dc7 311e996c 5 00000001 0
3e581857 98284b47 a 007cb030 0
12d7903d af1d473e a 00000000 1
13e6c912 981ff689 e 1006c000 0
0418fb3e 1a2f295f 5 00000001 0
328c393b 8f1ee0a7 2 461c9d80 0
2a649355 1205cd49 4 00000000 1
aeb6eec4 13bb022b c bfbfeeef 0
9189adb2 150330c9 7 00000000 1
a1766efa 17576aa0 a a1766efa 0
0efc30f1 0ad8c765 e 0ad80061 0
bfc6237d a693f6bd 3 a0000000 0
1d704135 b1781a3c d bd785b3d 0
b5502e3e 02102d18 6 00000000 1
b0066886 9b8e583a 4 00000000 1
b4a1d5db 19de8500 e 10808500 0
8937a8ba 87e7f1a3 f 8127a0a2 0
10f61cee 1cbac181 5 00000001 0
1a4cbe49 a038d564 6 00000001 0
b6c8962d adae1ece 7 00000000 1
93c943e1 abe967bb 8 3820245a 0
0090ec6a 1774627f c 17f4ee7f 0
85daec97 80982106 5 00000000 1
bc2430d3 a47d7f64 7 00000000 1
a178bf01 be3c40d8 1 e33c7e29 0
03572308 0528fbdc 5 00000001 0
bf79ada4 37d3f4ad c bffbfdad 0
179b9dd8 8b5e35f2 f 031a15d0 0
b294a977 93cb0ad6 d b3dfabf7 0
047770ce a34d8aae 8 a73afa60 0
3bd06968 b84b1968 1 83855000 0
2fcc81ce bcc95e60 5 00000000 1
a6932e2e 87d3365d 5 00000000 1
b91a6b71 374119c7 9 8e5b72b6 0
021e53c7 91924925 c 939e5be7 0
21df3bea bc0b7463 2 0ef9df50 0
89de9a6f af296f59 4 00000001 0
b98ccd8e 2f48e65e 3 80000000 0
bc9e46ff 9e81354f 7 00000000 1
b67c3d60 27516cc1 a 5b3e1eb0 0
8c471eeb 02a050ba 5 00000001 0
8b829528 952e78fb 5 00000001 0
9c7f6658 216f6ea5 6 00000000 1
aee42601 1e5800e1 c befc26e1 0
9e0c7706 36904f68 c be9c7f6e 0
b37e1d63 007d3ea8 b ffb37e1d 0
1f86d506 14852a5d 8 0b03ff5b 0
90256213 1bbbd896 b fffffe40 0
118f6267 957a788a 2 3d899c00 0
03558f7f 16636e56 f 02410e56 0
254b8d62 1437207a f 04030062 0
b26f4570 1ee27e2d c beef7f7d 0
3f9d1cbd 93d05ef8 4 00000000 1
3bd9c718 852bc68d 0 c1058da5 0
a216244a a9d5ff6a c abd7ff6a 0
ba8cdfe3 a48ac8b5 2 fc600000 0
8c603fd3 b2d953fd e 804013d1 0
b79a859c 095f6f58 1 ae3b1644 0
9d5c04d6 9c48b0e4 f 9c4800c4 0
837586bf 0bfe288e 8 888bae31 0
8aeabbd7 a8b9c753 3 deb80000 0
34cf110c aa7f8c70 6 00000001 0
09e1f03d 0ce1ec01 d 0de1fc3d 0
1e08cfc0 26d98235 e 06088200 0
9d67d1e7 a3976a58 1 f9d0678f 0
345a19f8 3d68cba8 c 3d7adbf8 0
a5744e06 8654d099 2 0c000000 0
2cdf7927 117e034e 6 00000000 1
0fe83cdd 1de07296 3 37400000 0
83f104b5 9a4cfb99 7 00000001 0
ae4a1873 03cb87e0 8 ad819f93 0
0242fb11 121d9df2 0 14609903 0
8bcf745d 99b01773 6 00000001 0
a96071e1 1452f68e 1 950d7b53 0
9c00712a 161da641 8 8a1dd76b 0
06453e18 1c6b163c 3 80000000 0
a1e3361c 3958a734 0 db3bdd50 0
04f32219 20d36db2 0 25c68fcb 0
2a38aa26 2d264a7a 1 fd125fac 0
0af5332d b7e6ce0e e 02e4020c 0
88f8c172 8b034f38 c 8bfbcf7a 0
a0f990f9 3c38e078 8 9cc17081 0
a2d7cedd ab38b5f9 7 00000001 0
14b448b5 a6cabb29 e 04800821 0
8f42f123 bd7a7372 b ffffe3d0 0
046c6355 3a7b4c4b 2 631aa800 0
b5e1f9b3 08b85a76 e 00a05832 0
3cacf8e2 0b9d336d 1 310fc575 0
1c401f6a 940f3128 8 884f2e42 0
3eb504b6 9140e078 b 0000003e 0
8cfa819f adcc18d2 7 00000001 0
3368ed54 ab5afb6d c bb7aff7d 0
01490047 8f9ee8eb b 00002920 0
02941018 89984258 1 78fbcdc0 0
a882cc1d 08382d2f 9 a0bae132 0
0987f3f1 0a45c337 9 03c230c6 0
36bd5e0b 22b76bd7 0 5974c9e2 0
8624dfe2 275aadc2 a 218937f8 0
3454cf53 83508451 3 9ea60000 0
8493c101 0153fd61 3 09278202 0
03d16421 a6e0280c 8 a5314c2d 0
3e056126 b426fdb0 6 00000001 0
a2241087 28117634 1 7a129a53 0
a5f73a8e 0a3d3c57 6 00000000 1
aefee41f a8ff706d 0 57fe548c 0
299b061b 3c00e930 7 00000001 0
377b2ac1 8b5121ee c bf7b2bef 0
2a15c8fb a02801e5 1 89edc716 0
3510410d 02dd3b97 0 37ed7ca4 0
867b73d8 298e008e e 000a0088 0
1d57a9bc 901d66c8 7 00000001 0
257de8e2 b2faad00 e 2078a800 0
24d06cf4 17cdf625 7 00000000 1
a0edc752 0ff636c0 9 af1bf192 0
9f6c4513 242a3698 7 00000000 1
8642fa33 8b44f1da 5 00000001 0
1d5624ab aa73c422 5 00000000 1
97948d98 905e8312 a 000025e5 0
a8f9c7a9 bc6bbd61 3 51f38f52 0
1f70088a 9cd00825 c 9ff008af 0
0cf655de 21aa4dcf 9 2d5c1811 0
08334b4e 2909e712 b 0000020c 0
ad512f59 b7ca1a2e c bfdb3f7f 0
04a108d1 25cffba6 2 28423440 0
2ecc5b5f b285f397 b 0000005d 0
bb91af68 1c1464be 0 d7a61426 0
89ef50df adfb252b e 89eb000b 0
9bb54818 18a94afe d 9bbd4afe 0
24ee7bb1 057f0550 c 25ff7ff1 0
06854d28 bbd330ed b 0000342a 0
103c8c07 9072ff05 7 00000001 0
2aa787b1 ae6940b5 1 7c3e46fc 0
ad35d5d2 8cb658b4 d adb7ddf6 0
b614f95a 8ad2adfb 7 00000000 1
04e95c14 237d6584 7 00000001 0
0785028f 1fcb3288 3 85028f00 0
8eb1a849 a158db1f d aff9fb5f 0
bcbf26ce bd73fab9 e bc332288 0
82ebd073 b5750966 9 379ed915 0
b080d7e0 a2eb92f4 e a08092e0 0
bdb09e71 9e2a7a8b 7 00000000 1
b6e1de17 0b29a194 c bfe9ff97 0
